Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43386658,In the Flo: Unlock Your Hormonal Advantage and Revolutionize Your Life,Alisa Vitti,"Vitti, Alisa",,"=""0062870483""","=""9780062870483""",0,3.98,HarperOne,Hardcover,384,2020,,,2023/04/28,to-read,to-read (#91),to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Hardcover,552,2006,2005,,2023/04/26,to-read,to-read (#90),to-read,,,,0,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.14,Penguin,Paperback,532,2003,1847,,2023/04/26,to-read,to-read (#89),to-read,,,,0,0
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,,2023/04/26,to-read,to-read (#88),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.11,Harper,Mass Market Paperback,417,2003,1967,,2023/04/26,to-read,to-read (#87),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""0143058142""","=""9780143058144""",0,4.26,Penguin,Paperback,671,2002,1866,,2023/04/26,to-read,to-read (#86),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",4,4.44,Atria Books,Hardcover,389,2017,2017,,2023/04/14,,,read,,,,1,0
60784578,What Have We Done,Alex Finlay,"Finlay, Alex",,"=""1250863724""","=""9781250863720""",0,3.56,Minotaur Books,Hardcover,358,2023,2023,,2023/04/22,to-read,to-read (#85),to-read,,,,0,0
60217302,"Twisted Lies (Twisted, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",1,4.26,,Kindle Edition,530,2022,2022,2023/04/19,2023/04/14,,,read,"The problem I have with the male protagonists in this series is that they are all supposed to be this like brooding dark magnetic men that scream ""I can't be fixed but you can try"".... but they are all actually the most insufferable, unlikeable characters I've seen.. ESPECIALLY this one! There's something diabolical about a man who doesn't believe in love seeing a women who wants to fall in love and then deciding ""I want her and no one else can have her"" WHILE knowing he can't offer her what she wants,,, like you fool??? ",true,,1,0
55817097,"Twisted Love (Twisted, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",1,3.74,,Kindle Edition,360,2021,2021,,2023/03/13,,,read,,,,1,0
